shortdescription,regex,attemptregex
non isolated 'b',(a|(b*bb))*,(a+bbb*)*
non isolated 'b',(a|(b*bb))*,(a+bbb)*
Non-empty sequence of a's or sequence of b's followed by sequence of a's,b*a*,(a(a*))|(b(b*))(a*)
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(aa|bb|ab|ba)(a*b*)a*b*(aaa)
Every b followed by two or more a's,(a|baa)*,(a*(baa)*)
even number of 1's,(0*10*10*)*|0*,0|(11)*
Odd number of b's,(a*ba*b)*a*ba*,([a]*(b)(bba|abb|bab|bb|a*)*)
Odd number of b's,(a*ba*b)*a*ba*,(b(bb)*)|((a*)+b(bb)*)
Odd number of 1s,0*10*(10*10*)*,0+10+
even number of 1's,(0*10*10*)*|0*,0*|(0*|11)*|0*(11)*(0*10*1(0*|11)*)0*|10*110*1|(10*1)0*
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(1+0*1+)*|(0+1*0+)*|0*|1*
An even number of 1's,(0|10*1)*,((11)|0)*
Every b followed by two or more a's,(a|baa)*,(a*|baa)
Odd number of 1s,0*10*(10*10*)*,0*(0*110*)*1(0*110*)*0*
non isolated 'b',(a|(b*bb))*,(a)*(bb)*(bbb)*(a|bb)*(bbb)*(bb)*(a)*
non isolated 'b',(a|(b*bb))*,a*b+b+a*
At least one a followed by one b,a+b,ab{1}
3 | #b,a*(ba*ba*ba*)*,(a*ba*ba*ba*)*
Odd number of b's,(a*ba*b)*a*ba*,(a|bb|bab)*(b)(a|bb|bab)*
"Same number of occurances of ""01"" and ""10""",(0(0*|1+0)*)|(1(1*|0+1)*),0(0*1+0+)*|1(1*0+1+)*
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(0+(0|1)*0+)|(1+(0|1)*1+)
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(0+1+0+)*|(1+0+1+)*|0*|1*
3 | #b,a*(ba*ba*ba*)*,a*(a*ba*ba*b)*
Odd number of 1s,0*10*(10*10*)*,(11)*0*1(11)*0*(11)*|1(11)*0*(11)*0*(11)*|(11)*0*(11)*0*1(11)*|1(11)*0*1(11)*0*1(11)*
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,1+(0+1+)*|0+(1+0+)*
non isolated 'b',(a|(b*bb))*,bb+|b+b
Every b followed by two or more a's,(a|baa)*,"a*(b)a{2,}"
Non-empty sequence of a's or sequence of b's followed by sequence of a's,b*a*,(()(a+)+)|((b+))+((a*)+)
Odd number of b's,(a*ba*b)*a*ba*,([a]*[b][a]*)([a]*[b][a]*[b][a]*)+
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(aa|ab|ba|bb)+(aaa)+
Odd number of b's,(a*ba*b)*a*ba*,(bb)*a*b(a)*(bb)*a*
first and third,a(a|b)a(a|b)*,(aaa|aba)b
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)(ab)(aaa)a*
non isolated 'b',(a|(b*bb))*,(a)*(bb+ab+b+bba)*(bb+ba+a+bba)*(bb)*
Every b followed by two or more a's,(a|baa)*,(a)*(b)(a)(a)
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,0*(01*0)*0*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(aa|ab|ba|aa)(a|b)*aaa+
even number of 1's,(0*10*10*)*|0*,(0|11)*
Every b followed by two or more a's,(a|baa)*,"a*b(a{2,})"
Odd number of 1s,0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110)|(01011)|(01000)|(101001)|(101010)|(101111)|(101100)|(100101)|(100110)|(100011)|(100000)|(110001)|(110010)|(110111)|(110100)|(111011)|(111000)|(111101)|(111110)|(000001)|(000010)|(000111)
Odd number of b's,(a*ba*b)*a*ba*,(a*)(b)(a*|(b(a*)b))a*
non isolated 'b',(a|(b*bb))*,(a)*(bb+b)*(a)*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,b+a+(aaa)|a+b+(aaa)|b+b+(aaa)|a+a+(aaa)
Non-empty sequence of a's or sequence of b's followed by sequence of a's,b*a*,(a+|(b+a+))
even prefix,(ab|ba)*,(abba)*(ab)*(ba)*(ab)*
Every b followed by two or more a's,(a|baa)*,(a*baaa*)|(a*)
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,0?|0(0*1*)*0|1(1*0*)*1
Odd number of b's,(a*ba*b)*a*ba*,(a)*b(a)*(bb)*(a)*
first and third,a(a|b)a(a|b)*,aaa
even number of 1's,(0*10*10*)*|0*,(0*(11)*)*|(10*1)*|(0*(11)*)*|(0*10*1)*|(10*10*)*
Every b followed by two or more a's,(a|baa)*,(baa+a*)*
Length 1 or More,(0|1)(0|1)*,01*
Contains baa and ends with b.,(a|b)*baa(a|b)*b,(a*|b*)(baa)+(a*|b*)b
Odd number of 1s,0*10*(10*10*)*,0*(10*|10*)
Odd number of 1s,0*10*(10*10*)*,(0*(10*1)*0*10*(10*1)*0*)
non isolated 'b',(a|(b*bb))*,a*bb(b)*a*
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(1+0+1+)*|(0+1+0+)*
Odd number of b's,(a*ba*b)*a*ba*,a*b(a*bb)*(bba*)*a*
Odd number of 1s,0*10*(10*10*)*,(0*1|1(11)*0*|10*|1(101)*|0*10*|01(11)*|10*(11)*|10*10*1)
non isolated 'b',(a|(b*bb))*,(a)*(bb+ab+b)*(bb+ba+a)*
even number of 1's,(0*10*10*)*|0*,(011)*|(101)*|(011)*
non isolated 'b',(a|(b*bb))*,(a*(bb+bbb)*a*)*
Every b followed by two or more a's,(a|baa)*,a*(ba{2})*
Does not contain aba as a substring,(b|aa*bb)*((aa*(b?))?),b*a*b*|((a*bb+a*)*)?
Odd number of b's,(a*ba*b)*a*ba*,a*ba*(ba*b)*a*(ba*b)*
Every b followed by two or more a's,(a|baa)*,aa*(baaa*)*
first and third,a(a|b)a(a|b)*,((aaa)|(aba))a*b*
Odd number of b's,(a*ba*b)*a*ba*,(b{1}a*)|(a*b{1})|(a*b(bb)*)
Every b followed by two or more a's,(a|baa)*,"b?a{2,}"
Odd number of 1s,0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110)|(01011)|(01000)|(101001)|(101010)|(101111)|(101100)|(100101)|(100110)|(100011)|(100000)|(110001)|(110010)|(110111)|(110100)|(111011)|(111000)|(111101)|(111110)|(000001)
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,[ab]{2}a{3}
Non-empty sequence of a's or sequence of b's followed by sequence of a's,b*a*,((a)+|b+a*)
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),(a|b)b(a(a|b)b)*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)(a|b)aaa(a)*
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,((01)0*1*(10))*
Contains baa and ends with b.,(a|b)*baa(a|b)*b,a*(baa)+b+
An even number of 1's,(0|10*1)*,0*|((10*1)*)
Odd number of b's,(a*ba*b)*a*ba*,((a*(bb))*((a)*b)(a)*(a*(bb))*)
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)(a|b)(ab)*aaa
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,"(aa|bb)(a|b)*a{3,}"
Length 1 or More,(0|1)(0|1)*,(0|1)+(0|1)
non isolated 'b',(a|(b*bb))*,(a)*(a+bb)*(a)*(bbb)*(bb)*(a)*
even number of 1's,(0*10*10*)*|0*,(00)*(11)*((01|10)(01|10))
An even number of 1's,(0|10*1)*,(0?)*((1(0?)*1)?)*(0?)*
Every b followed by two or more a's,(a|baa)*,a*(b(aa)+)*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,((a|b){2})aaa+
Odd number of 1s,0*10*(10*10*)*,(1)|(111)|(11111)|(10)
Length 1 or More,(0|1)(0|1)*,[0-1]
first and third,a(a|b)a(a|b)*,(aba(a|b)*)
even number of 1's,(0*10*10*)*|0*,10*0*1
non isolated 'b',(a|(b*bb))*,(a*(bb|bbb))*
Contains baa and ends with b.,(a|b)*baa(a|b)*b,[ab]*(baa)b
non isolated 'b',(a|(b*bb))*,a*(bb|bbb|bbbb|bbbbb)*a*
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,0*|1*|(0+1*0+)(10)*|(1+0*1+)(01)*
non isolated 'b',(a|(b*bb))*,(a|bb)*|a*
An even number of 1's,(0|10*1)*,((0*)1(0*)1(0*))*
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,1*|(0+1*0+)*|(1+0*1+)*
Contains baa and ends with b.,(a|b)*baa(a|b)*b,(ab*)+(b+b+a)+(ab*)+(b)
Every b followed by two or more a's,(a|baa)*,(baa+)*|a*
Every b followed by two or more a's,(a|baa)*,"(a)*ba{2,}|a*"
Every b followed by two or more a's,(a|baa)*,(a*baa(a)*)*
Every b followed by two or more a's,(a|baa)*,(a*b)aa+
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a+|b+)(a+|b+)(aaa+)
contains 'bab',(a|b)*(bab)(a|b)*,(a|b)*bab(a|b)
Length 2 and 3,(0|1)(0|1)|(0|1)(0|1)(0|1),00|01|10|11|111|110|100|000|001|011
Odd number of b's,(a*ba*b)*a*ba*,a*b(a*ba*b)*
Odd number of 1s,0*10*(10*10*)*,1(11)*0
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),((a|b)a*ba)*|((a|b)a*b)?
Odd number of 1s,0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110)|(01011)|(01000)|(101001)|(101010)|(101111)|(101100)|(100101)|(100110)|(100011)|(100000)|(110001)|(110010)|(110111)|(110100)|(111011)|(111000)|(111101)|(111110)|(000001)|(000010)|(000111)|(000100)|(001101)|(001110)|(001011)|(001000)|(011001)|(011010)|(011111)|(011100)|(010101)|(010110)|(010011)|(010000)|(101001)|(1010001)|(1010010)|(1010111)|(1010100)|(1011101)|(1011110)
At least one zero followed by 0 or more 1s,0+1*,01*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b){3}(a|b)*aaa+
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,((0*011*100*)*)|((1*100*011*)*)|(0*)|(1*)|((1*10*11*)*)|((0*01*00*)*)
3 | #b,a*(ba*ba*ba*)*,a*ba*ba*b
non isolated 'b',(a|(b*bb))*,(a|bb)*(bb)*(bbb)*(a|bb)*(bbb)*(bb)*(a|bb)*
non isolated 'a',(b|(a*aa))*,b*aa*ab*
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(1+(01))*|(0+(10)*)
Odd number of 1s,0*10*(10*10*)*,(0*(10*1)*0*(10*1)*0*10*)
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(1(01*0)*1)*|(0*(01*0)*0*)*|(0(10*1)*0)*|(1*(10*1)*1*)*
first and third,a(a|b)a(a|b)*,a(a|b)a
non isolated 'b',(a|(b*bb))*,((a*)+(bbb*a*))*
non isolated 'b',(a|(b*bb))*,(a*(bbb*)*a*)
first and third,a(a|b)a(a|b)*,(aaa)|(aba)
even prefix,(ab|ba)*,((ab)|(ba))
Odd number of b's,(a*ba*b)*a*ba*,[a]*b(([a]*b){2})*
Odd number of b's,(a*ba*b)*a*ba*,a*(ba*b)*ba*
Odd number of b's,(a*ba*b)*a*ba*,b((a*)(bb))*
Every b followed by two or more a's,(a|baa)*,a*((baa)*)|a*
even number of 1's,(0*10*10*)*|0*,0*|(0?10*10*)*
Odd number of b's,(a*ba*b)*a*ba*,a*b(ba*b)*
Every b followed by two or more a's,(a|baa)*,((a)*baa+)+
An even number of 1's,(0|10*1)*,0*|(0*10*10*)
Non-empty sequence of a's or sequence of b's followed by sequence of a's,b*a*,a*|(b*a+)
even number of 1's,(0*10*10*)*|0*,0*|(10*1)*
Odd number of b's,(a*ba*b)*a*ba*,a*b(ba*ba*)*
Odd number of b's,(a*ba*b)*a*ba*,a*ba*(ba*b)*
even number of 1's,(0*10*10*)*|0*,(11)*|0(11)*|(11)*0|0*|(101)*
Odd number of 1s,0*10*(10*10*)*,(0*(10*1)*0*10*)
At least one a followed by one b,a+b,(a)b
non isolated 'b',(a|(b*bb))*,a*bb+bba*
Every b followed by two or more a's,(a|baa)*,"(a+|(b{1}a{2,})+)+"
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(1*)|(0*)|(1+0+1((1+0+1)|(01))*)|(0+1+0((0+1+0)|(10))*)
Odd number of 1s,0*10*(10*10*)*,(0*(11)*10*)
even prefix,(ab|ba)*,(ab)*(ba)*
Every b followed by two or more a's,(a|baa)*,"([a]+)|(b{1}a{2,})"
non isolated 'b',(a|(b*bb))*,a
Odd number of b's,(a*ba*b)*a*ba*,a*b(a*bb)*(bba*)*
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),(((a|b)a*ba)*|((a|b)a*b))?
Odd number of 1s,0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)
non isolated 'b',(a|(b*bb))*,a*(bb+)*a*
Contains baa and ends with b.,(a|b)*baa(a|b)*b,[ab]*(baaa*)+b
Odd number of b's,(a*ba*b)*a*ba*,(b)((a)*(bb)*)*
Every b followed by two or more a's,(a|baa)*,(a)*(baa)*(a)*(baa)*
Every b followed by two or more a's,(a|baa)*,(a*(baa+)a*)*
Every b followed by two or more a's,(a|baa)*,(a)*|((b)(aa))*(a)*
non isolated 'b',(a|(b*bb))*,(a)*(bb|bbb)*(a)*
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(0(0|1)*0)|(1(1|0)*1)
contains 'bab',(a|b)*(bab)(a|b)*,(bbab)*(a+b)*bab(a+b)*(babb)*
Odd number of 1s,0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110)|(01011)|(01000)|(101001)|(101010)|(101111)|(101100)|(100101)|(100110)|(100011)|(100000)|(110001)|(110010)|(110111)|(110100)|(111011)|(111000)
Odd number of b's,(a*ba*b)*a*ba*,(a|bb)*b
"{0^k s 0^k | k >= 1, s in {0,1}*}",0(0|1)*0,0+(0*1*)0+
Odd number of 1s,0*10*(10*10*)*,1(11)*
Length 1 or More,(0|1)(0|1)*,(0*1+)+(1*0+)+
non isolated 'b',(a|(b*bb))*,(a+bb)*a*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(aa|bb|ba|ab)(a*b*a*)aaaa*
non isolated 'b',(a|(b*bb))*,(a)*(b*bbb*)*(a)*(b*bbb*)*(a*)
Odd number of b's,(a*ba*b)*a*ba*,(a*)(b)(a*|(b(a*)b))(a*)
non isolated 'a',(b|(a*aa))*,(b*aa+b*)|(b*a+ab*)|b*
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),(((a|b)a*ba)*)|((a|b)a*b)
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(aa|bb|ba|ab)(a*b*a*b*)aaaa*
first and third,a(a|b)a(a|b)*,(aba)+(aaa)
4 | #0,1*(01*01*01*01*)*,(1*(0000)*1*)*
non isolated 'b',(a|(b*bb))*,(bb)*|a*|(bb)*
Odd number of 1s,0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)
non isolated 'b',(a|(b*bb))*,(a*(bb|bbb)a*)
contains 'bab',(a|b)*(bab)(a|b)*,a*b*a*(bab)(a|b)*
non isolated 'b',(a|(b*bb))*,a*bb(b)*a*|a*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(aa|bb|ab|ba)(a*b*)a*(aaa)
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(0(0*1*)*0)|(1(0*1*)1)
Odd number of 1s,0*10*(10*10*)*,(11)*0*1(11)*0*(11)*|1(11)*0*(11)*0*(11)*|(11)*0*(11)*0*1(11)*|0*1(11)*0*1(11)*0*1(11)*0*
Odd number of b's,(a*ba*b)*a*ba*,a*b(a|(bb|bab))*
non isolated 'b',(a|(b*bb))*,(bb)*(a)*(bb+b)*(a)*(bb)*
even number of 1's,(0*10*10*)*|0*,(10*1)*
Length 2 and 3,(0|1)(0|1)|(0|1)(0|1)(0|1),(00)|(01)|(10)|(100)|(010)|(001)|(110)|(001)|(101)|(111)
Odd number of 1s,0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110)|(01011)|(01000)|(101001)|(101010)|(101111)|(101100)|(100101)|(100110)|(100011)|(100000)|(110001)|(110010)|(110111)|(110100)|(111011)|(111000)|(111101)|(111110)|(000001)|(000010)|(000111)|(000100)|(001101)|(001110)|(001011)|(001000)|(011001)|(011010)|(011111)|(011100)|(010101)|(010110)|(010011)|(010000)|(101001)|(1010001)
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a*b){3}aaa
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),((a|b)a*b)(a?)
Every b followed by two or more a's,(a|baa)*,(a*)+baa
An even number of 1's,(0|10*1)*,(0|11)*
An even number of 1's,(0|10*1)*,(0*)(11)*
even number of 1's,(0*10*10*)*|0*,0*|(0*|11)*|(10*1)
Odd number of b's,(a*ba*b)*a*ba*,(a|bb)*a*b(a|bb)*
Odd number of b's,(a*ba*b)*a*ba*,(a)*b(a)*(bb)*
Every b followed by two or more a's,(a|baa)*,(baa+)
Odd number of 1s,0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110)|(01011)|(01000)|(101001)|(101010)|(101111)|(101100)|(100101)|(100110)|(100011)|(100000)|(110001)|(110010)|(110111)|(110100)|(111011)|(111000)|(111101)|(111110)|(000001)|(000010)|(000111)|(000100)|(001101)|(001110)|(001011)|(001000)|(011001)|(011010)
Every b followed by two or more a's,(a|baa)*,((a)*baa(a)*)*
even number of 1's,(0*10*10*)*|0*,0*(10*10*11)*
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,0*0(1+0)+0*
non isolated 'b',(a|(b*bb))*,a*(bbb*)
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,1*(100*11*)*|0*(011*00*)*
Contains baa and ends with b.,(a|b)*baa(a|b)*b,(a*|b*)a*(baa)a*b*b
Odd number of 1s,0*10*(10*10*)*,(11)*0*1(11)*0*(11)*|1(11)*0*(11)*0*(11)*|(11)*0*(11)*0*1(11)*|1(11)*0*1(11)*0*1(11)*0*
non isolated 'a',(b|(a*aa))*,(b*(aa)*b*)*
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(01+0)*|(101)*|((10)+0*1)*|((01)+1*0)*|0*|1*
"Same number of occurances of ""01"" and ""10""",(0(0*|1+0)*)|(1(1*|0+1)*),1(0|1)*1|0((0|1)*0)*
even number of 1's,(0*10*10*)*|0*,(0*10*10*)*
non isolated 'b',(a|(b*bb))*,(a|((bb)+))*|a*
contains 'bab',(a|b)*(bab)(a|b)*,b+(bab)+(a|b)*
Odd number of b's,(a*ba*b)*a*ba*,a*(a*ba*b)*ba*
non isolated 'b',(a|(b*bb))*,a*b*bb+a*bbb*
An even number of 1's,(0|10*1)*,(0*|(11)*)(0*|(11)*)*|(101)*
"{0^k s 0^k | k >= 1, s in {0,1}*}",0(0|1)*0,0+(1*0*|0*1*)0+
Contains baa and ends with b.,(a|b)*baa(a|b)*b,a*b*(a*b*(baa)a*b*(b))
Odd number of 1s,0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110)|(01011)|(01000)|(101001)|(101010)|(101111)|(101100)|(100101)|(100110)|(100011)|(100000)|(110001)|(110010)|(110111)|(110100)|(111011)|(111000)|(111101)
Odd number of b's,(a*ba*b)*a*ba*,a*(ab)|(b)|(a*ba*ba*)*ba*
even number of 1's,(0*10*10*)*|0*,0*0*|10*1
Odd number of b's,(a*ba*b)*a*ba*,(b(a*)(bb))|(a*b{1}a*)|(b{1}a*)|(a*b{1})|(a*b(bb)*)
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)(a|b)a*b*a*b*aaa+
Length 1 or More,(0|1)(0|1)*,(0*101*)+|(1*010*)+
Odd number of b's,(a*ba*b)*a*ba*,(bb|a)*ba*(bb|a)*
Non-empty sequence of a's or sequence of b's followed by sequence of a's,b*a*,(a+|b+a+)
even prefix,(ab|ba)*,(ab)*(ba)*(ab)|(ba)*(ab)*(ba)|(ab)*(ba)*|(ba)*(ab)*
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),((a|b)a*ba)|((a|b)a*b)
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(0(0|1)*0)|(1(0|1)*1)
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,[ab][ab]aaaa*
non isolated 'b',(a|(b*bb))*,(abb)*
Length 1 or More,(0|1)(0|1)*,1+(0|1)*
An even number of 1's,(0|10*1)*,0*(10*10*)
contains 'bab',(a|b)*(bab)(a|b)*,(a+b)*bab(a+b)*
Odd number of 1s,0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110)|(01011)|(01000)|(101001)|(101010)|(101111)|(101100)|(100101)|(100110)|(100011)|(100000)|(110001)|(110010)|(110111)|(110100)|(111011)|(111000)|(111101)|(111110)|(000001)|(000010)
Non-empty sequence of a's or sequence of b's followed by sequence of a's,b*a*,((a+)|b+a*)
Every b followed by two or more a's,(a|baa)*,ba+a+
non isolated 'a',(b|(a*aa))*,b*(aaa*)b*
"{0^k s 0^k | k >= 1, s in {0,1}*}",0(0|1)*0,0+(1*0*)0+
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(aa+|bb+)+aaa
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,0*(010)*0*|1*(101)*1*
even number of 1's,(0*10*10*)*|0*,(0)*(11)*((01|10)(01|10))*
Every b followed by two or more a's,(a|baa)*,(a+)*(baa)*(a+)*
Non-empty sequence of a's or sequence of b's followed by sequence of a's,b*a*,b*a+
Odd number of 1s,0*10*(10*10*)*,0*1(0*10*10*)*
Odd number of b's,(a*ba*b)*a*ba*,a*(ba*ba*)*ba
Every b followed by two or more a's,(a|baa)*,a|(baa+)*
non isolated 'b',(a|(b*bb))*,((aa*bbb*a*)+(bbb*a*))*
Odd number of 1s,0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(10*1)*|(01*0)*
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(0+11*0+)*|(1+00*1+)*
Every b followed by two or more a's,(a|baa)*,(a)*(baa)*|(a)*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,((ab+)|(ba+)|(aa+)|(bb+))a*b*(a{3})
Length 1 or More,(0|1)(0|1)*,01*0|1
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,0(0*1*)*0|1(1*0*)*1
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,0*|1*|(0+1*0+)*|(1+0*1+)*
Odd number of 1s,0*10*(10*10*)*,((10*1)*0*(10*1)*0*10*)
even prefix,(ab|ba)*,(ab)+(ab|ba)*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(ab|ba|aa|bb)+aaa+
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(1+0+)*1+|(0+1+)*0+
Odd number of 1s,0*10*(10*10*)*,0*10*(11)*
Odd number of b's,(a*ba*b)*a*ba*,(b)(bb)*
non isolated 'b',(a|(b*bb))*,(a|bbb)*(a|bbb)*
Every b followed by two or more a's,(a|baa)*,(b(aaa*))*
Every b followed by two or more a's,(a|baa)*,a*|(baa+)*
Every b followed by two or more a's,(a|baa)*,(a)*(baa+)
Odd number of b's,(a*ba*b)*a*ba*,(a*ba*(b(a*)b)*a*)
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),(a|b)a*b(a?)
even number of 1's,(0*10*10*)*|0*,0*|(11)+0*|0*(11)+|10*1|(1010)*
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),(((a|b)a*b))|((a|b)a*ba)
Odd number of 1s,0*10*(10*10*)*,(0*1|1(11)*|10*|1(101)*|0*10*)
even number of 1's,(0*10*10*)*|0*,0*|(0*|11)*|0*(11)*(0*10*1(0*|11)*)0*
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(1(0|1)*1)|(0(0|1)*0)|0|1
even number of 1's,(0*10*10*)*|0*,(0*10*1)*0?
"{0^k s 0^k | k >= 1, s in {0,1}*}",0(0|1)*0,(0(1*0*1*)0)|00100
non isolated 'b',(a|(b*bb))*,a*(b+bb+bbb)*a*
